date,signal,benchmark_type,sample_name,specification,coefficient,coefficient_value,cross_section_nobs,cross_section_r2
1993-07-31,AnalystRevision,augmented_signal_history,full,baseline_missing_only,missing_indicator,-0.011251031225238253,3872,0.021541500756937615
1993-08-31,AnalystRevision,augmented_signal_history,full,baseline_missing_only,missing_indicator,0.024912718698557733,3874,0.031976004655104084
1993-09-30,AnalystRevision,augmented_signal_history,full,baseline_missing_only,missing_indicator,-0.008178125797848162,3917,0.041424567589263495
1993-10-31,AnalystRevision,augmented_signal_history,full,baseline_missing_only,missing_indicator,0.00827869922109766,4073,0.013842409202089345
1993-11-30,AnalystRevision,augmented_signal_history,full,baseline_missing_only,missing_indicator,-0.04137689669340684,4095,0.02051251785524988
1993-12-31,AnalystRevision,augmented_signal_history,full,baseline_missing_only,missing_indicator,-0.051172982746513954,4122,0.03725095307567705
1994-01-31,AnalystRevision,augmented_signal_history,full,baseline_missing_only,missing_indicator,-0.02219114897548775,4144,0.02196657446608885
1994-02-28,AnalystRevision,augmented_signal_history,full,baseline_missing_only,missing_indicator,0.006137626290172811,4163,0.02042184817921122
1994-03-31,AnalystRevision,augmented_signal_history,full,baseline_missing_only,missing_indicator,0.0017984730172280602,4180,0.054044341190785605
1994-04-30,AnalystRevision,augmented_signal_history,full,baseline_missing_only,missing_indicator,0.07929332374343265,4193,0.0224585442168026
1994-05-31,AnalystRevision,augmented_signal_history,full,baseline_missing_only,missing_indicator,-0.0015334096525307615,4171,0.06255454900852053
1994-06-30,AnalystRevision,augmented_signal_history,full,baseline_missing_only,missing_indicator,0.013003480652126479,4178,0.012630966746903671
1994-07-31,AnalystRevision,augmented_signal_history,full,baseline_missing_only,missing_indicator,-0.01523523770837872,4230,0.02606882502485386
1994-08-31,AnalystRevision,augmented_signal_history,full,baseline_missing_only,missing_indicator,-0.021041645328908065,4218,0.028621824984160216
1994-09-30,AnalystRevision,augmented_signal_history,full,baseline_missing_only,missing_indicator,-0.017661741155231798,4343,0.01793947552861208
1994-10-31,AnalystRevision,augmented_signal_history,full,baseline_missing_only,missing_indicator,0.007720557446459355,4730,0.010924034366710855
1994-11-30,AnalystRevision,augmented_signal_history,full,baseline_missing_only,missing_indicator,-0.002610451831531052,4766,0.06141175661137532
1994-12-31,AnalystRevision,augmented_signal_history,full,baseline_missing_only,missing_indicator,-0.0023166041422229633,4793,0.047590082159904123
1995-01-31,AnalystRevision,augmented_signal_history,full,baseline_missing_only,missing_indicator,-0.015255589440409494,4851,0.01136281076630552
1995-02-28,AnalystRevision,augmented_signal_history,full,baseline_missing_only,missing_indicator,-0.005209418326948483,4883,0.010080218063212243
1995-03-31,AnalystRevision,augmented_signal_history,full,baseline_missing_only,missing_indicator,-0.01291839857764488,4890,0.02289084460499835
1995-04-30,AnalystRevision,augmented_signal_history,full,baseline_missing_only,missing_indicator,-0.007676417594311198,4920,0.010843672264101545
1995-05-31,AnalystRevision,augmented_signal_history,full,baseline_missing_only,missing_indicator,0.016639466865828983,4909,0.04479619141094404
1995-06-30,AnalystRevision,augmented_signal_history,full,baseline_missing_only,missing_indicator,-0.009026028428196196,4895,0.036459804393882744
1995-07-31,AnalystRevision,augmented_signal_history,full,baseline_missing_only,missing_indicator,0.01669872772447624,4922,0.02697176221339115
